      ESP Fit Center  329 is at  -1.950000 -0.900000 -1.529615
      ESP Fit Center  330 is at  -1.950000 -0.900000 -1.229615
      ESP Fit Center  331 is at  -1.950000 -0.900000 -0.929615
      ESP Fit Center  332 is at  -1.950000 -0.900000 -0.629615
      ESP Fit Center  333 is at  -1.950000 -0.900000 -0.329615
      ESP Fit Center  334 is at  -1.950000 -0.900000 -0.029615
      ESP Fit Center  335 is at  -1.950000 -0.900000  0.270385
      ESP Fit Center  336 is at  -1.950000 -0.900000  0.570385
      ESP Fit Center  337 is at  -1.950000 -0.900000  0.870385
      ESP Fit Center  338 is at  -1.950000 -0.900000  1.170385
      ESP Fit Center  339 is at  -1.950000 -0.900000  1.470385
      ESP Fit Center  340 is at  -1.950000 -0.900000  1.770385
      ESP Fit Center  341 is at  -1.950000 -0.600000 -2.429615
      ESP Fit Center  342 is at  -1.950000 -0.600000 -2.129615
      ESP Fit Center  343 is at  -1.950000 -0.600000 -1.829615
      ESP Fit Center  344 is at  -1.950000 -0.600000 -1.529615
      ESP Fit Center  345 is at  -1.950000 -0.600000 -1.229615
      ESP Fit Center  346 is at  -1.950000 -0.600000 -0.929615
      ESP Fit Center  347 is at  -1.950000 -0.600000 -0.629615
      ESP Fit Center  348 is at  -1.950000 -0.600000 -0.329615
      ESP Fit Center  349 is at  -1.950000 -0.600000 -0.029615
      ESP Fit Center  350 is at  -1.950000 -0.600000  0.270385
      ESP Fit Center  351 is at  -1.950000 -0.600000  0.570385
      ESP Fit Center  352 is at  -1.950000 -0.600000  0.870385
      ESP Fit Center  353 is at  -1.950000 -0.600000  1.170385
      ESP Fit Center  354 is at  -1.950000 -0.600000  1.470385
      ESP Fit Center  355 is at  -1.950000 -0.600000  1.770385
      ESP Fit Center  356 is at  -1.950000 -0.300000 -2.429615
      ESP Fit Center  357 is at  -1.950000 -0.300000 -2.129615
      ESP Fit Center  358 is at  -1.950000 -0.300000 -1.829615
      ESP Fit Center  359 is at  -1.950000 -0.300000 -1.529615
      ESP Fit Center  360 is at  -1.950000 -0.300000 -1.229615
      ESP Fit Center  361 is at  -1.950000 -0.300000 -0.929615
      ESP Fit Center  362 is at  -1.950000 -0.300000 -0.629615
      ESP Fit Center  363 is at  -1.950000 -0.300000 -0.329615
      ESP Fit Center  364 is at  -1.950000 -0.300000 -0.029615
      ESP Fit Center  365 is at  -1.950000 -0.300000  0.270385
      ESP Fit Center  366 is at  -1.950000 -0.300000  0.570385
